CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
63.59,64.46,62.73,1.000,17.6,62.3
62.65,62.70,62.60,1.100,17.6,62.3
62.52,62.95,62.09,1.201,17.6,62.3
61.16,61.69,60.64,1.300,17.5,62.3
60.44,60.84,60.04,1.400,17.5,62.3
59.35,59.65,59.04,1.500,17.6,62.3
58.23,58.74,57.71,1.601,17.6,62.3
56.86,57.26,56.46,1.700,17.5,62.3
56.36,56.87,55.85,1.800,17.5,62.3
55.58,56.08,55.08,1.900,17.6,62.3
54.25,54.67,53.83,2.001,17.5,62.3
53.11,53.69,52.54,2.100,17.6,62.3
51.84,52.35,51.34,2.201,17.6,62.3
50.44,50.87,50.01,2.301,17.5,62.3
50.40,50.47,50.33,2.401,17.6,62.3
48.90,49.42,48.39,2.501,17.6,62.3
48.35,48.69,48.01,2.600,17.6,62.3
47.48,47.45,47.50,2.700,17.6,62.3
45.92,46.09,45.76,2.801,17.6,62.3
45.02,45.68,44.36,2.900,17.6,62.3
44.25,44.53,43.97,3.000,17.6,62.3
44.06,44.39,43.73,3.101,17.6,62.2
42.49,42.64,42.35,3.201,17.6,62.3
42.09,42.05,42.14,3.300,17.7,62.2
40.46,40.91,40.01,3.400,17.6,62.2
39.73,40.81,38.65,3.500,17.7,62.3
39.50,39.52,39.47,3.601,17.7,62.1
38.73,39.11,38.34,3.700,17.8,62.1
38.01,37.62,38.40,3.800,17.8,62.1
37.50,37.21,37.79,3.901,18.0,62.0
36.50,36.17,36.84,4.001,18.2,61.8
36.30,36.57,36.03,4.100,18.3,61.7
35.88,35.58,36.19,4.200,18.4,61.5
35.63,35.75,35.50,4.301,18.5,61.5
34.47,34.63,34.32,4.400,18.6,61.3
34.23,34.35,34.11,4.500,18.8,61.2
33.97,33.65,34.28,4.600,18.9,61.1
32.89,33.26,32.53,4.701,19.0,60.9
31.61,31.44,31.78,4.800,19.1,60.8
31.45,31.30,31.60,4.900,19.2,60.7
30.25,30.75,29.76,5.000,19.3,60.6
29.20,29.37,29.03,5.101,19.5,60.5
28.20,28.28,28.13,5.200,19.6,60.4
27.83,27.58,28.08,5.300,19.7,60.2
26.75,26.74,26.76,5.401,19.9,60.0
25.85,25.66,26.04,5.501,20.0,59.9
24.39,24.16,24.62,5.600,20.3,59.8
23.22,22.86,23.59,5.700,20.4,59.6
22.18,22.13,22.23,5.801,20.5,59.6
21.27,21.31,21.22,5.901,20.8,59.3
19.78,19.97,19.58,6.000,21.0,59.2
18.89,19.21,18.58,6.101,21.2,58.9
17.30,18.10,16.49,6.200,21.7,58.7
15.50,15.87,15.14,6.301,22.3,58.5
14.53,14.64,14.43,6.400,22.4,58.1
13.53,13.56,13.50,6.500,22.9,57.8
12.42,12.80,12.03,6.600,23.2,57.4
10.12,10.92,9.33,6.701,23.8,57.2
10.53,10.94,10.12,6.801,24.6,56.2
13.47,11.71,15.24,6.900,25.9,54.2
63.87,63.54,64.20,0.000,18.4,63.8
63.54,63.17,63.91,0.100,18.4,63.8
63.72,63.03,64.40,0.199,18.4,63.8
63.69,63.20,64.19,0.300,18.4,63.8
63.85,63.88,63.83,0.400,18.4,63.8
63.51,63.02,63.99,0.500,18.3,63.8
63.57,62.85,64.28,0.599,18.4,63.8
63.65,63.10,64.19,0.699,18.4,63.8
63.90,63.70,64.11,0.800,18.4,63.8
63.81,63.73,63.90,0.900,18.4,63.8
63.51,62.91,64.11,0.999,18.3,63.8
64.16,64.07,64.25,1.100,18.3,63.8
63.69,63.19,64.19,1.200,18.4,63.8
63.85,63.87,63.83,1.300,18.4,63.8
63.47,63.66,63.28,1.399,18.4,63.8
64.03,63.15,64.90,1.500,18.3,63.8
63.71,63.18,64.24,1.600,18.4,63.8
63.78,63.04,64.52,1.699,18.4,63.8
63.94,63.99,63.88,1.799,18.4,63.8
63.89,63.64,64.13,1.900,18.4,63.8
63.71,63.82,63.59,2.000,18.4,63.8
63.76,63.20,64.32,2.099,18.4,63.8
63.67,63.64,63.69,2.199,18.4,63.8
63.74,64.23,63.25,2.300,18.4,63.8
64.05,63.71,64.39,2.400,18.4,63.8
64.07,63.69,64.44,2.499,18.4,63.8
63.76,63.18,64.34,2.600,18.4,63.8
63.40,63.34,63.46,2.700,18.4,63.8
63.52,63.00,64.04,2.800,18.4,63.8
63.74,63.44,64.03,2.900,18.4,63.8
63.76,63.74,63.77,3.000,18.4,63.8
63.77,63.16,64.38,3.100,18.4,63.8
64.08,63.86,64.29,3.199,18.4,63.8
63.34,63.12,63.56,3.299,18.4,63.8
63.47,63.45,63.49,3.400,18.4,63.8
63.84,63.39,64.29,3.500,18.4,63.8
63.80,63.39,64.21,3.599,18.4,63.8
63.70,63.25,64.16,3.699,18.3,63.8
64.02,63.90,64.13,3.800,18.4,63.8
63.37,62.85,63.90,3.900,18.3,63.8
64.20,64.22,64.17,4.000,18.4,63.8
64.13,64.26,64.00,4.100,18.4,63.8
64.10,64.18,64.01,4.200,18.4,63.8
63.33,62.63,64.03,4.300,18.4,63.8
63.60,63.62,63.58,4.399,18.4,63.8
62.63,62.33,62.94,4.500,18.4,63.8
62.64,63.07,62.21,4.600,18.4,63.8
61.75,61.61,61.90,4.699,18.4,63.8
61.23,61.46,61.01,4.799,18.4,63.8
60.36,60.50,60.21,4.900,18.4,63.8
60.24,60.15,60.34,5.003,18.4,63.8
58.74,59.09,58.39,5.099,18.4,63.8
57.15,56.89,57.40,5.199,18.4,63.8
57.01,57.15,56.88,5.300,18.3,63.8
55.48,55.17,55.79,5.400,18.3,63.8
54.58,54.08,55.09,5.499,18.3,63.8
53.03,52.80,53.26,5.599,18.3,63.8
52.37,52.00,52.75,5.700,18.4,63.7
52.26,52.72,51.81,5.800,18.4,63.8
50.49,50.60,50.38,5.899,18.4,63.8
49.89,49.97,49.82,5.999,18.4,63.8
48.60,48.53,48.67,6.100,18.3,63.8
47.55,47.66,47.44,6.200,18.4,63.8
47.13,47.17,47.09,6.299,18.3,63.8
45.28,45.29,45.28,6.399,18.3,63.7
45.25,44.93,45.56,6.500,18.3,63.7
44.16,43.68,44.65,6.600,18.3,63.7
42.85,43.02,42.68,6.699,18.4,63.8
42.09,41.96,42.22,6.800,18.3,63.7
40.94,40.85,41.02,6.900,18.4,63.7
40.10,39.33,40.87,6.999,18.3,63.7
40.10,40.04,40.17,7.099,18.4,63.7
38.68,38.26,39.09,7.200,18.4,63.7
37.65,37.38,37.92,7.300,18.4,63.7
36.86,36.28,37.43,7.399,18.4,63.7
36.34,36.31,36.36,7.499,18.4,63.7
34.32,33.90,34.75,7.600,18.4,63.7
34.77,34.02,35.52,7.709,18.5,63.5
33.60,33.18,34.03,7.799,18.5,63.7
33.14,32.78,33.49,7.900,18.5,63.6
30.85,31.25,30.45,8.000,18.5,63.7
30.01,30.09,29.94,8.100,18.5,63.5
29.23,29.43,29.03,8.199,18.6,63.5
27.50,26.56,28.44,8.300,18.6,63.3
27.68,26.50,28.87,8.400,18.8,63.0
28.03,27.55,28.51,8.499,19.4,62.7
27.03,26.26,27.81,8.600,19.4,62.6
26.83,26.11,27.55,8.700,19.6,62.5
26.10,25.89,26.31,8.800,19.8,62.3
24.41,23.56,25.26,8.899,19.9,62.1
23.73,23.01,24.44,8.999,20.0,62.0
23.39,22.89,23.88,9.100,20.3,61.9
21.93,21.87,22.00,9.200,20.3,61.7
20.43,19.81,21.04,9.299,20.5,61.6
18.39,16.31,20.48,9.399,20.4,61.2
18.29,16.85,19.73,9.500,20.7,61.1
17.20,15.93,18.48,9.599,21.0,60.9
16.19,15.68,16.71,9.699,21.4,60.8
15.17,15.08,15.26,9.800,21.4,60.4
13.67,13.67,13.68,9.900,21.8,60.3
11.58,10.54,12.63,9.999,21.9,60.0
11.18,10.36,12.01,10.099,22.6,59.6
9.58,9.42,9.74,10.200,23.0,59.5
